UnitName,X,Y,Length (m),Width (m),ConfigFile,Label
unit_179,8.906250e-04,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_180,9.375000e-04,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_181,9.843750e-04,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_182,1.031250e-03,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_183,1.078125e-03,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_184,1.125000e-03,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_185,1.171875e-03,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_186,1.218750e-03,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_187,1.265625e-03,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_188,1.312500e-03,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_189,1.359375e-03,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_190,1.406250e-03,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_191,1.453125e-03,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_192,0.000000e+00,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_193,4.687500e-05,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_194,9.375000e-05,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_195,1.406250e-04,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_196,1.875000e-04,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_197,2.343750e-04,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_198,2.812500e-04,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_199,3.281250e-04,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_200,3.750000e-04,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_201,4.218750e-04,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_202,4.687500e-04,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_203,5.156250e-04,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_204,5.625000e-04,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_205,6.093750e-04,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_206,6.562500e-04,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_207,7.031250e-04,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_208,7.500000e-04,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_209,7.968750e-04,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_210,8.437500e-04,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_211,8.906250e-04,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_212,9.375000e-04,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_213,9.843750e-04,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_214,1.031250e-03,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_215,1.078125e-03,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_216,1.125000e-03,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_217,1.171875e-03,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_218,1.218750e-03,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_219,1.265625e-03,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_220,1.312500e-03,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_221,1.359375e-03,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_222,1.406250e-03,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_223,1.453125e-03,2.812500e-04,4.687500e-05,4.687500e-05,,Si
unit_224,0.000000e+00,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_225,4.687500e-05,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_226,9.375000e-05,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_227,1.406250e-04,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_228,1.875000e-04,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_229,2.343750e-04,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_230,2.812500e-04,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_231,3.281250e-04,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_232,3.750000e-04,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_233,4.218750e-04,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_234,4.687500e-04,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_235,5.156250e-04,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_236,5.625000e-04,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_237,6.093750e-04,3.281250e-04,4.687500e-05,4.687500e-05,,Si
