test	suite	comparison	rtl_result	spike_status	rtl_exit_status	spike_exit_code	rtl_tohost_exit	rtl_campaign	rtl_log	spike_log	binary	sha256	reference_elf_hash_evidence
legacy-ck_matmul-dual	legacy-mt	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/legacy-ck_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-ck_matmul-dual.log	bench-build/bin/legacy-ck_matmul-dual.riscv	1076660a502d6e53a27178dc20300e14c69741141164a5282ded50f2b42bc1e8	BUILD_HASH_ONLY
legacy-cl_matmul-dual	legacy-mt	NONPASS_AGREE	FAIL	NONZERO	255	1	1	bench-run	bench-run/legacy-cl_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-cl_matmul-dual.log	bench-build/bin/legacy-cl_matmul-dual.riscv	a00a7e7e71b9f0265e93326b6dbe3f733ad010acff92b3ac99ad4c1467ee0d03	BUILD_HASH_ONLY
legacy-cm_matmul-dual	legacy-mt	NONPASS_AGREE	FAIL	NONZERO	255	1	1	bench-run	bench-run/legacy-cm_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-cm_matmul-dual.log	bench-build/bin/legacy-cm_matmul-dual.riscv	55905088af8226769132a860db53f43ca786457818eebe554611f3075fe27db2	BUILD_HASH_ONLY
legacy-cs_matmul-dual	legacy-mt	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/legacy-cs_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-cs_matmul-dual.log	bench-build/bin/legacy-cs_matmul-dual.riscv	cb5edb75ecc4e57f594e6cdb2d33c669d3d34319ad5913c31c7ad14edafdd324	BUILD_HASH_ONLY
legacy-cv_matmul-dual	legacy-mt	NONPASS_AGREE	FAIL	NONZERO	255	1	1	bench-run	bench-run/legacy-cv_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-cv_matmul-dual.log	bench-build/bin/legacy-cv_matmul-dual.riscv	7b5057aa897e7278ea86b74f9f32289c22d2acb86de108f3380af68e94e76191	BUILD_HASH_ONLY
legacy-cy_matmul-dual	legacy-mt	NONPASS_AGREE	FAIL	NONZERO	255	1	1	bench-run	bench-run/legacy-cy_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-cy_matmul-dual.log	bench-build/bin/legacy-cy_matmul-dual.riscv	3cf2faa1b24a31abbd86cd10eb99e81287b64d2e2453ccce69131feefdf9e4ec	BUILD_HASH_ONLY
legacy-dc_matmul-dual	legacy-mt	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/legacy-dc_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-dc_matmul-dual.log	bench-build/bin/legacy-dc_matmul-dual.riscv	38b4e608db2bfc81ade7f55cf5de7b97176faea948b6fcbb438165eb6c12248c	BUILD_HASH_ONLY
legacy-df_matmul-dual	legacy-mt	NONPASS_AGREE	FAIL	NONZERO	255	1	1	bench-run	bench-run/legacy-df_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-df_matmul-dual.log	bench-build/bin/legacy-df_matmul-dual.riscv	346bd7cfa80ec35a3879e7c3baa7827ad29c0e127eb9bf80a1f98b886030ab9d	BUILD_HASH_ONLY
legacy-dm_matmul-dual	legacy-mt	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/legacy-dm_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-dm_matmul-dual.log	bench-build/bin/legacy-dm_matmul-dual.riscv	4a4fbb9d37a1b0145b3547d6220f0ef184892b35543c6328dc0f8bb445a6dbb8	BUILD_HASH_ONLY
legacy-do_matmul-dual	legacy-mt	NONPASS_AGREE	FAIL	NONZERO	255	1	1337	bench-run	bench-run/legacy-do_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-do_matmul-dual.log	bench-build/bin/legacy-do_matmul-dual.riscv	98024c1ba69a9ba7f81e175eed2170c3acdfc09145b23c9f103f930056239bd8	BUILD_HASH_ONLY
legacy-dr_matmul-dual	legacy-mt	NONPASS_AGREE	FAIL	NONZERO	255	1	1	bench-run	bench-run/legacy-dr_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-dr_matmul-dual.log	bench-build/bin/legacy-dr_matmul-dual.riscv	fbb8c49005657f97866523968c1ba2f8c7d0de078de4c2bdfb938aab3fc83222	BUILD_HASH_ONLY
legacy-ds_matmul-dual	legacy-mt	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/legacy-ds_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-ds_matmul-dual.log	bench-build/bin/legacy-ds_matmul-dual.riscv	523889dc5ed47f949f5e3dcf823c8e6fdc914d887409b24784dcb53663231d17	BUILD_HASH_ONLY
legacy-du_matmul-dual	legacy-mt	NONPASS_AGREE	FAIL	NONZERO	255	1	1	bench-run	bench-run/legacy-du_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-du_matmul-dual.log	bench-build/bin/legacy-du_matmul-dual.riscv	acc4ac314f0bbb436322d9cee741855447ecf9fa4075a75ac7c163eb077c8cf0	BUILD_HASH_ONLY
legacy-dv_matmul-dual	legacy-mt	NONPASS_AGREE	WALL_TIMEOUT	NONZERO	-9	1		bench-run	bench-run/legacy-dv_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-dv_matmul-dual.log	bench-build/bin/legacy-dv_matmul-dual.riscv	c3a399d458c7089c9ebedff7be1b3466bc725c648efa47fe6fbaa8687a8c1ebf	BUILD_HASH_ONLY
legacy-vvadd0-dual	legacy-mt	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/legacy-vvadd0-dual/simulation.log	spike/benchmarks/logs/legacy-vvadd0-dual.log	bench-build/bin/legacy-vvadd0-dual.riscv	d911b1e53b2f5b59c7eec05b0864dd04ac7c29fa2f78065c93d855225641ca80	BUILD_HASH_ONLY
legacy-vvadd1-dual	legacy-mt	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/legacy-vvadd1-dual/simulation.log	spike/benchmarks/logs/legacy-vvadd1-dual.log	bench-build/bin/legacy-vvadd1-dual.riscv	8df750f73c6039d3e3a85ad2036616fd5c0928b7bc937c084d006b086dab6f29	BUILD_HASH_ONLY
legacy-vvadd2-dual	legacy-mt	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/legacy-vvadd2-dual/simulation.log	spike/benchmarks/logs/legacy-vvadd2-dual.log	bench-build/bin/legacy-vvadd2-dual.riscv	5bcdf975179e4194478f24d1bf850135af59367c3856d1d77050a049183ea8a2	BUILD_HASH_ONLY
legacy-vvadd3-dual	legacy-mt	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/legacy-vvadd3-dual/simulation.log	spike/benchmarks/logs/legacy-vvadd3-dual.log	bench-build/bin/legacy-vvadd3-dual.riscv	a69f648028b0e3aa17a6aa488f52c2471a8822cf28587c41601704fae179146a	BUILD_HASH_ONLY
legacy-vvadd4-dual	legacy-mt	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/legacy-vvadd4-dual/simulation.log	spike/benchmarks/logs/legacy-vvadd4-dual.log	bench-build/bin/legacy-vvadd4-dual.riscv	a5c3bb7f57f914b746fcad820eb252b04969ac2ef9e2db1018bd008d03577c25	BUILD_HASH_ONLY
median	benchmark-configured	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/median/simulation.log	spike/benchmarks/logs/median.log	bench-build/bin/median.riscv	11c5bbb4df6f5e2aef3a6ebf2ad3c43c1c2c343fd0debb986b64c9ad9d4158d1	BUILD_HASH_ONLY
memcpy	benchmark-extra	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/memcpy/simulation.log	spike/benchmarks/logs/memcpy.log	bench-build/bin/memcpy.riscv	1ce5c68ca892dcd120dd121a97adbba8b2d906d3de0d5c7451ec0e516455e3ec	BUILD_HASH_ONLY
mm	benchmark-configured	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/mm/simulation.log	spike/benchmarks/logs/mm.log	bench-build/bin/mm.riscv	43cbeacc9fb07dd76ff860bdc3aa27ce13fed34a8dd295c32abaeb7ae03d6862	BUILD_HASH_ONLY
mt-matmul	benchmark-configured	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/mt-matmul/simulation.log	spike/benchmarks/logs/mt-matmul.log	bench-build/bin/mt-matmul.riscv	eb21225c1c3f8ad0dbf01390da9553d4557b0dfd3014bf420182b3a9d17100e1	BUILD_HASH_ONLY
mt-matmul-dual	benchmark-dual	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/mt-matmul-dual/simulation.log	spike/benchmarks/logs/mt-matmul-dual.log	bench-build/bin/mt-matmul-dual.riscv	fbaea374ba17b067cbab8986bda6e990a9f279f9609b4ce74e162697d764b3de	BUILD_HASH_ONLY
mt-memcpy	benchmark-extra	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/mt-memcpy/simulation.log	spike/benchmarks/logs/mt-memcpy.log	bench-build/bin/mt-memcpy.riscv	068d0a850ec7d94dbc217ca460a7e8e59cce124dacec348f4254dd1895af7b18	BUILD_HASH_ONLY
mt-memcpy-dual	benchmark-dual	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/mt-memcpy-dual/simulation.log	spike/benchmarks/logs/mt-memcpy-dual.log	bench-build/bin/mt-memcpy-dual.riscv	ba1dc2b2042131e611ab86c9b6ce09d836d0da4d2bbe9344043b5a54b5df082c	BUILD_HASH_ONLY
mt-vvadd	benchmark-configured	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/mt-vvadd/simulation.log	spike/benchmarks/logs/mt-vvadd.log	bench-build/bin/mt-vvadd.riscv	94bae15f23aed97134ae54c6c910293b49ce16f1ea398e2def009a212707ab88	BUILD_HASH_ONLY
mt-vvadd-dual	benchmark-dual	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/mt-vvadd-dual/simulation.log	spike/benchmarks/logs/mt-vvadd-dual.log	bench-build/bin/mt-vvadd-dual.riscv	4b0c268afd930e72ae36ee0ec48623e25055b8715096522c642fb9b10ae9f6ad	BUILD_HASH_ONLY
multiply	benchmark-configured	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/multiply/simulation.log	spike/benchmarks/logs/multiply.log	bench-build/bin/multiply.riscv	ee3da4b8c8f04f4597ac1c85393c526b338aac1c7b38384bb743a0a5399b8364	BUILD_HASH_ONLY
pmp	benchmark-configured	PASS_AGREE	PASS	PASS	0	0		pmp-retry	pmp-retry/pmp/simulation.log	spike/benchmarks/logs/pmp.log	bench-build/bin/pmp.riscv	ab6b38dbbfa6b66af9a2bbe285c04e2b69f1ece855e1e6d4a20ecda60c944d37	BUILD_HASH_ONLY
qsort	benchmark-configured	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/qsort/simulation.log	spike/benchmarks/logs/qsort.log	bench-build/bin/qsort.riscv	7dda6cf07048451ec3bee64715a39bdd2101563fbdbadef5dd0c586332283d6d	BUILD_HASH_ONLY
rsort	benchmark-configured	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/rsort/simulation.log	spike/benchmarks/logs/rsort.log	bench-build/bin/rsort.riscv	a4c6f427269c45e813e1e79ce76eca755251a616eecece6587f7858b038e3412	BUILD_HASH_ONLY
rv64mi-p-access	isa	PASS_AGREE	PASS	PASS	0	0		isa-run	isa-run/rv64mi-p-access/simulation.log	spike/logs/rv64mi-p-access.log	isa-build/rv64mi-p-access	87a4ddad9ad5f1683bc51c63901699400324ca0c62a1f201e2f7bdf130669854	BUILD_HASH_ONLY
rv64mi-p-breakpoint	isa	PASS_AGREE	PASS	PASS	0	0		isa-run	isa-run/rv64mi-p-breakpoint/simulation.log	spike/logs/rv64mi-p-breakpoint.log	isa-build/rv64mi-p-breakpoint	06b1e355f136c5e856923f6cf8a5c8f36c29559680b148dc3a0e17b6a3b526c4	BUILD_HASH_ONLY
rv64mi-p-csr	isa	PASS_AGREE	PASS	PASS	0	0		isa-run	isa-run/rv64mi-p-csr/simulation.log	spike/logs/rv64mi-p-csr.log	isa-build/rv64mi-p-csr	b00f174188960e0afaf60940db1fc020d142d90aeb27d642809a7b53f9ad7a44	BUILD_HASH_ONLY
rv64mi-p-illegal	isa	PASS_AGREE	PASS	PASS	0	0		isa-run	isa-run/rv64mi-p-illegal/simulation.log	spike/logs/rv64mi-p-illegal.log	isa-build/rv64mi-p-illegal	fc97e68573e7d1964da51a66f1dc1a0b0e8889371236b11105dec77085f196c1	BUILD_HASH_ONLY
rv64mi-p-ld-misaligned	isa	PASS_AGREE	PASS	PASS	0	0		isa-run	isa-run/rv64mi-p-ld-misaligned/simulation.log	spike/logs/rv64mi-p-ld-misaligned.log	isa-build/rv64mi-p-ld-misaligned	3fa25292a948a45daf02343226b0c160aa28c54167d427c7fa137293aa5d0cc0	BUILD_HASH_ONLY
rv64mi-p-lh-misaligned	isa	PASS_AGREE	PASS	PASS	0	0		isa-run	isa-run/rv64mi-p-lh-misaligned/simulation.log	spike/logs/rv64mi-p-lh-misaligned.log	isa-build/rv64mi-p-lh-misaligned	e1378ffb0bcd1203e934734b57f731f55d15e79bdbb227e57983c44dc6dd7549	BUILD_HASH_ONLY
