test	suite	result	exit_status	wall_seconds	cycles	log	campaign
rv64uf-v-move	isa	PASS	0	44.042		campaigns/cpu-isa/rv64uf-v-move/simulation.log	cpu-isa
rv64uf-v-ldst	isa	PASS	0	69.742		campaigns/cpu-isa/rv64uf-v-ldst/simulation.log	cpu-isa
rv64ui-p-add	isa	PASS	0	8.579		campaigns/cpu-isa/rv64ui-p-add/simulation.log	cpu-isa
rv64ui-p-addi	isa	PASS	0	6.465		campaigns/cpu-isa/rv64ui-p-addi/simulation.log	cpu-isa
rv64ui-p-addiw	isa	PASS	0	8.332		campaigns/cpu-isa/rv64ui-p-addiw/simulation.log	cpu-isa
rv64ui-p-addw	isa	PASS	0	8.229		campaigns/cpu-isa/rv64ui-p-addw/simulation.log	cpu-isa
rv64ui-p-and	isa	PASS	0	7.523		campaigns/cpu-isa/rv64ui-p-and/simulation.log	cpu-isa
rv64ui-p-andi	isa	PASS	0	5.805		campaigns/cpu-isa/rv64ui-p-andi/simulation.log	cpu-isa
rv64uf-v-recoding	isa	PASS	0	70.244		campaigns/cpu-isa/rv64uf-v-recoding/simulation.log	cpu-isa
rv64ui-p-auipc	isa	PASS	0	5.607		campaigns/cpu-isa/rv64ui-p-auipc/simulation.log	cpu-isa
rv64ui-p-beq	isa	PASS	0	8.525		campaigns/cpu-isa/rv64ui-p-beq/simulation.log	cpu-isa
rv64ui-p-bge	isa	PASS	0	9.444		campaigns/cpu-isa/rv64ui-p-bge/simulation.log	cpu-isa
rv64ui-p-blt	isa	PASS	0	6.213		campaigns/cpu-isa/rv64ui-p-blt/simulation.log	cpu-isa
rv64ui-p-bgeu	isa	PASS	0	7.672		campaigns/cpu-isa/rv64ui-p-bgeu/simulation.log	cpu-isa
rv64ui-p-bltu	isa	PASS	0	6.813		campaigns/cpu-isa/rv64ui-p-bltu/simulation.log	cpu-isa
rv64ui-p-bne	isa	PASS	0	6.667		campaigns/cpu-isa/rv64ui-p-bne/simulation.log	cpu-isa
rv64ui-p-jal	isa	PASS	0	4.852		campaigns/cpu-isa/rv64ui-p-jal/simulation.log	cpu-isa
rv64ui-p-fence_i	isa	PASS	0	6.012		campaigns/cpu-isa/rv64ui-p-fence_i/simulation.log	cpu-isa
rv64ui-p-jalr	isa	PASS	0	5.652		campaigns/cpu-isa/rv64ui-p-jalr/simulation.log	cpu-isa
rv64ui-p-lb	isa	PASS	0	6.764		campaigns/cpu-isa/rv64ui-p-lb/simulation.log	cpu-isa
rv64ui-p-lbu	isa	PASS	0	7.279		campaigns/cpu-isa/rv64ui-p-lbu/simulation.log	cpu-isa
rv64ui-p-ld	isa	PASS	0	9.188		campaigns/cpu-isa/rv64ui-p-ld/simulation.log	cpu-isa
rv64ui-p-lh	isa	PASS	0	6.362		campaigns/cpu-isa/rv64ui-p-lh/simulation.log	cpu-isa
rv64ui-p-lhu	isa	PASS	0	6.262		campaigns/cpu-isa/rv64ui-p-lhu/simulation.log	cpu-isa
rv64ui-p-lui	isa	PASS	0	4.901		campaigns/cpu-isa/rv64ui-p-lui/simulation.log	cpu-isa
rv64ui-p-lw	isa	PASS	0	5.857		campaigns/cpu-isa/rv64ui-p-lw/simulation.log	cpu-isa
rv64ui-p-lwu	isa	PASS	0	6.871		campaigns/cpu-isa/rv64ui-p-lwu/simulation.log	cpu-isa
rv64ui-p-ma_data	isa	FAIL	255	4.66		campaigns/cpu-isa/rv64ui-p-ma_data/simulation.log	cpu-isa
rv64ui-p-or	isa	PASS	0	7.923		campaigns/cpu-isa/rv64ui-p-or/simulation.log	cpu-isa
rv64ui-p-ori	isa	PASS	0	6.367		campaigns/cpu-isa/rv64ui-p-ori/simulation.log	cpu-isa
rv64ui-p-sb	isa	PASS	0	7.827		campaigns/cpu-isa/rv64ui-p-sb/simulation.log	cpu-isa
rv64ui-p-sd	isa	PASS	0	10.393		campaigns/cpu-isa/rv64ui-p-sd/simulation.log	cpu-isa
rv64ui-p-simple	isa	PASS	0	6.417		campaigns/cpu-isa/rv64ui-p-simple/simulation.log	cpu-isa
rv64ui-p-sh	isa	PASS	0	10.501		campaigns/cpu-isa/rv64ui-p-sh/simulation.log	cpu-isa
rv64ui-p-slli	isa	PASS	0	8.333		campaigns/cpu-isa/rv64ui-p-slli/simulation.log	cpu-isa
rv64ui-p-sll	isa	PASS	0	10.446		campaigns/cpu-isa/rv64ui-p-sll/simulation.log	cpu-isa
rv64ui-p-slliw	isa	PASS	0	6.914		campaigns/cpu-isa/rv64ui-p-slliw/simulation.log	cpu-isa
rv64ui-p-sllw	isa	PASS	0	8.728		campaigns/cpu-isa/rv64ui-p-sllw/simulation.log	cpu-isa
rv64ui-p-slt	isa	PASS	0	8.476		campaigns/cpu-isa/rv64ui-p-slt/simulation.log	cpu-isa
rv64ui-p-slti	isa	PASS	0	6.161		campaigns/cpu-isa/rv64ui-p-slti/simulation.log	cpu-isa
rv64ui-p-sltiu	isa	PASS	0	5.762		campaigns/cpu-isa/rv64ui-p-sltiu/simulation.log	cpu-isa
rv64ui-p-sltu	isa	PASS	0	8.43		campaigns/cpu-isa/rv64ui-p-sltu/simulation.log	cpu-isa
rv64ui-p-sra	isa	PASS	0	8.022		campaigns/cpu-isa/rv64ui-p-sra/simulation.log	cpu-isa
rv64ui-p-srai	isa	PASS	0	6.011		campaigns/cpu-isa/rv64ui-p-srai/simulation.log	cpu-isa
rv64ui-p-sraiw	isa	PASS	0	6.816		campaigns/cpu-isa/rv64ui-p-sraiw/simulation.log	cpu-isa
rv64ui-p-sraw	isa	PASS	0	8.628		campaigns/cpu-isa/rv64ui-p-sraw/simulation.log	cpu-isa
rv64ui-p-srl	isa	PASS	0	8.535		campaigns/cpu-isa/rv64ui-p-srl/simulation.log	cpu-isa
rv64ui-p-srli	isa	PASS	0	6.462		campaigns/cpu-isa/rv64ui-p-srli/simulation.log	cpu-isa
rv64ui-p-srliw	isa	PASS	0	6.507		campaigns/cpu-isa/rv64ui-p-srliw/simulation.log	cpu-isa
rv64ui-p-srlw	isa	PASS	0	9.743		campaigns/cpu-isa/rv64ui-p-srlw/simulation.log	cpu-isa
rv64ui-p-sub	isa	PASS	0	8.081		campaigns/cpu-isa/rv64ui-p-sub/simulation.log	cpu-isa
rv64ui-p-subw	isa	PASS	0	7.924		campaigns/cpu-isa/rv64ui-p-subw/simulation.log	cpu-isa
rv64ui-p-sw	isa	PASS	0	9.281		campaigns/cpu-isa/rv64ui-p-sw/simulation.log	cpu-isa
rv64ui-p-xor	isa	PASS	0	9.536		campaigns/cpu-isa/rv64ui-p-xor/simulation.log	cpu-isa
rv64ui-p-xori	isa	PASS	0	7.172		campaigns/cpu-isa/rv64ui-p-xori/simulation.log	cpu-isa
rv64ui-v-addi	isa	PASS	0	46.515		campaigns/cpu-isa/rv64ui-v-addi/simulation.log	cpu-isa
rv64ui-v-add	isa	PASS	0	49.64		campaigns/cpu-isa/rv64ui-v-add/simulation.log	cpu-isa
rv64ui-v-addiw	isa	PASS	0	66.323		campaigns/cpu-isa/rv64ui-v-addiw/simulation.log	cpu-isa
rv64ui-v-addw	isa	PASS	0	67.217		campaigns/cpu-isa/rv64ui-v-addw/simulation.log	cpu-isa
rv64ui-v-andi	isa	PASS	0	57.187		campaigns/cpu-isa/rv64ui-v-andi/simulation.log	cpu-isa
rv64ui-v-and	isa	PASS	0	89.594		campaigns/cpu-isa/rv64ui-v-and/simulation.log	cpu-isa
rv64ui-v-auipc	isa	PASS	0	42.824		campaigns/cpu-isa/rv64ui-v-auipc/simulation.log	cpu-isa
rv64ui-v-beq	isa	PASS	0	44.583		campaigns/cpu-isa/rv64ui-v-beq/simulation.log	cpu-isa
rv64ui-v-bge	isa	PASS	0	44.112		campaigns/cpu-isa/rv64ui-v-bge/simulation.log	cpu-isa
rv64ui-v-bgeu	isa	PASS	0	44.081		campaigns/cpu-isa/rv64ui-v-bgeu/simulation.log	cpu-isa
rv64ui-v-blt	isa	PASS	0	44.778		campaigns/cpu-isa/rv64ui-v-blt/simulation.log	cpu-isa
rv64ui-v-bltu	isa	PASS	0	43.66		campaigns/cpu-isa/rv64ui-v-bltu/simulation.log	cpu-isa
rv64ui-v-bne	isa	PASS	0	43.663		campaigns/cpu-isa/rv64ui-v-bne/simulation.log	cpu-isa
rv64ui-v-jal	isa	PASS	0	39.872		campaigns/cpu-isa/rv64ui-v-jal/simulation.log	cpu-isa
rv64ui-v-fence_i	isa	PASS	0	69.788		campaigns/cpu-isa/rv64ui-v-fence_i/simulation.log	cpu-isa
rv64ui-v-jalr	isa	PASS	0	39.102		campaigns/cpu-isa/rv64ui-v-jalr/simulation.log	cpu-isa
rv64ui-v-lb	isa	PASS	0	68.657		campaigns/cpu-isa/rv64ui-v-lb/simulation.log	cpu-isa
rv64ui-v-lbu	isa	PASS	0	66.083		campaigns/cpu-isa/rv64ui-v-lbu/simulation.log	cpu-isa
rv64ui-v-ld	isa	PASS	0	68.244		campaigns/cpu-isa/rv64ui-v-ld/simulation.log	cpu-isa
rv64ui-v-lh	isa	PASS	0	68.546		campaigns/cpu-isa/rv64ui-v-lh/simulation.log	cpu-isa
rv64ui-v-lui	isa	PASS	0	36.408		campaigns/cpu-isa/rv64ui-v-lui/simulation.log	cpu-isa
rv64ui-v-lhu	isa	PASS	0	62.906		campaigns/cpu-isa/rv64ui-v-lhu/simulation.log	cpu-isa
rv64ui-v-lw	isa	PASS	0	68.296		campaigns/cpu-isa/rv64ui-v-lw/simulation.log	cpu-isa
rv64ui-v-lwu	isa	PASS	0	66.538		campaigns/cpu-isa/rv64ui-v-lwu/simulation.log	cpu-isa
rv64ui-v-or	isa	PASS	0	69.859		campaigns/cpu-isa/rv64ui-v-or/simulation.log	cpu-isa
rv64ui-v-ori	isa	PASS	0	60.456		campaigns/cpu-isa/rv64ui-v-ori/simulation.log	cpu-isa
rv64ui-v-sb	isa	PASS	0	70.597		campaigns/cpu-isa/rv64ui-v-sb/simulation.log	cpu-isa
rv64ui-v-sd	isa	PASS	0	91.928		campaigns/cpu-isa/rv64ui-v-sd/simulation.log	cpu-isa
rv64ui-v-sh	isa	PASS	0	57.094		campaigns/cpu-isa/rv64ui-v-sh/simulation.log	cpu-isa
rv64ui-v-simple	isa	PASS	0	38.584		campaigns/cpu-isa/rv64ui-v-simple/simulation.log	cpu-isa
rv64ui-v-sll	isa	PASS	0	81.912		campaigns/cpu-isa/rv64ui-v-sll/simulation.log	cpu-isa
rv64ui-v-slli	isa	PASS	0	42.879		campaigns/cpu-isa/rv64ui-v-slli/simulation.log	cpu-isa
