test	baseline	current	suite
rv64uzbb-p-roriw	PASS	PASS	isa
rv64uzbb-p-rorw	PASS	PASS	isa
rv64uzbb-p-sext_b	PASS	PASS	isa
rv64uzbb-p-sext_h	PASS	PASS	isa
rv64uzbb-p-xnor	PASS	PASS	isa
rv64uzbb-p-zext_h	PASS	PASS	isa
rv64uzbb-v-andn	PASS	PASS	isa
rv64uzbb-v-clz	PASS	PASS	isa
rv64uzbb-v-clzw	PASS	PASS	isa
rv64uzbb-v-cpop	PASS	PASS	isa
rv64uzbb-v-cpopw	PASS	PASS	isa
rv64uzbb-v-ctz	PASS	PASS	isa
rv64uzbb-v-ctzw	PASS	PASS	isa
rv64uzbb-v-max	PASS	PASS	isa
rv64uzbb-v-maxu	PASS	PASS	isa
rv64uzbb-v-min	PASS	PASS	isa
rv64uzbb-v-minu	PASS	PASS	isa
rv64uzbb-v-orc_b	PASS	PASS	isa
rv64uzbb-v-orn	PASS	PASS	isa
rv64uzbb-v-rev8	PASS	PASS	isa
rv64uzbb-v-rol	PASS	PASS	isa
rv64uzbb-v-rolw	PASS	PASS	isa
rv64uzbb-v-ror	PASS	PASS	isa
rv64uzbb-v-rori	PASS	PASS	isa
rv64uzbb-v-roriw	PASS	PASS	isa
rv64uzbb-v-rorw	PASS	PASS	isa
rv64uzbb-v-sext_b	PASS	PASS	isa
rv64uzbb-v-sext_h	PASS	PASS	isa
rv64uzbb-v-xnor	PASS	PASS	isa
rv64uzbb-v-zext_h	PASS	PASS	isa
rv64uzbc-p-clmul	FAIL	FAIL	isa
rv64uzbc-p-clmulh	FAIL	FAIL	isa
rv64uzbc-p-clmulr	FAIL	FAIL	isa
rv64uzbc-v-clmul	WALL_TIMEOUT	WALL_TIMEOUT	isa
rv64uzbc-v-clmulh	WALL_TIMEOUT	WALL_TIMEOUT	isa
rv64uzbc-v-clmulr	WALL_TIMEOUT	WALL_TIMEOUT	isa
rv64uzbs-p-bclr	PASS	PASS	isa
rv64uzbs-p-bclri	PASS	PASS	isa
rv64uzbs-p-bext	PASS	PASS	isa
rv64uzbs-p-bexti	PASS	PASS	isa
rv64uzbs-p-binv	PASS	PASS	isa
rv64uzbs-p-binvi	PASS	PASS	isa
rv64uzbs-p-bset	PASS	PASS	isa
rv64uzbs-p-bseti	PASS	PASS	isa
rv64uzbs-v-bclr	PASS	PASS	isa
rv64uzbs-v-bclri	PASS	PASS	isa
rv64uzbs-v-bext	PASS	PASS	isa
rv64uzbs-v-bexti	PASS	PASS	isa
rv64uzbs-v-binv	PASS	PASS	isa
rv64uzbs-v-binvi	PASS	PASS	isa
rv64uzbs-v-bset	PASS	PASS	isa
rv64uzbs-v-bseti	PASS	PASS	isa
rv64uzfh-p-fadd	PASS	PASS	isa
rv64uzfh-p-fclass	PASS	PASS	isa
rv64uzfh-p-fcmp	PASS	PASS	isa
rv64uzfh-p-fcvt	PASS	PASS	isa
rv64uzfh-p-fcvt_w	PASS	PASS	isa
rv64uzfh-p-fdiv	PASS	PASS	isa
rv64uzfh-p-fmadd	PASS	PASS	isa
rv64uzfh-p-fmin	PASS	PASS	isa
rv64uzfh-p-ldst	PASS	PASS	isa
rv64uzfh-p-move	PASS	PASS	isa
rv64uzfh-p-recoding	PASS	PASS	isa
rv64uzfh-v-fadd	PASS	PASS	isa
rv64uzfh-v-fclass	PASS	PASS	isa
rv64uzfh-v-fcmp	PASS	PASS	isa
rv64uzfh-v-fcvt	PASS	PASS	isa
rv64uzfh-v-fcvt_w	PASS	PASS	isa
rv64uzfh-v-fdiv	PASS	PASS	isa
rv64uzfh-v-fmadd	PASS	PASS	isa
rv64uzfh-v-fmin	PASS	PASS	isa
rv64uzfh-v-ldst	PASS	PASS	isa
rv64uzfh-v-move	PASS	PASS	isa
rv64uzfh-v-recoding	PASS	PASS	isa
spmv	PASS	PASS	benchmark-configured
towers	PASS	PASS	benchmark-configured
vvadd	PASS	PASS	benchmark-configured
