test	suite	result	exit_status	wall_seconds	cycles	log	campaign
rv64ud-v-fdiv	isa	PASS	0	22.164		campaigns/cpu-isa/rv64ud-v-fdiv/simulation.log	cpu-isa
rv64ud-v-fmadd	isa	PASS	0	19.547		campaigns/cpu-isa/rv64ud-v-fmadd/simulation.log	cpu-isa
rv64ud-v-fmin	isa	PASS	0	18.776		campaigns/cpu-isa/rv64ud-v-fmin/simulation.log	cpu-isa
rv64ud-v-ldst	isa	PASS	0	16.561		campaigns/cpu-isa/rv64ud-v-ldst/simulation.log	cpu-isa
rv64ud-v-move	isa	PASS	0	18.769		campaigns/cpu-isa/rv64ud-v-move/simulation.log	cpu-isa
rv64ud-v-recoding	isa	PASS	0	16.655		campaigns/cpu-isa/rv64ud-v-recoding/simulation.log	cpu-isa
rv64ud-v-structural	isa	PASS	0	10.222		campaigns/cpu-isa/rv64ud-v-structural/simulation.log	cpu-isa
rv64uf-p-fadd	isa	PASS	0	1.623		campaigns/cpu-isa/rv64uf-p-fadd/simulation.log	cpu-isa
rv64uf-p-fclass	isa	PASS	0	1.323		campaigns/cpu-isa/rv64uf-p-fclass/simulation.log	cpu-isa
rv64uf-p-fcmp	isa	PASS	0	1.675		campaigns/cpu-isa/rv64uf-p-fcmp/simulation.log	cpu-isa
rv64uf-p-fcvt	isa	PASS	0	1.322		campaigns/cpu-isa/rv64uf-p-fcvt/simulation.log	cpu-isa
rv64uf-p-fcvt_w	isa	PASS	0	2.379		campaigns/cpu-isa/rv64uf-p-fcvt_w/simulation.log	cpu-isa
rv64uf-p-fdiv	isa	PASS	0	1.477		campaigns/cpu-isa/rv64uf-p-fdiv/simulation.log	cpu-isa
rv64uf-p-fmadd	isa	PASS	0	1.625		campaigns/cpu-isa/rv64uf-p-fmadd/simulation.log	cpu-isa
rv64uf-p-fmin	isa	PASS	0	1.927		campaigns/cpu-isa/rv64uf-p-fmin/simulation.log	cpu-isa
rv64uf-p-ldst	isa	PASS	0	1.426		campaigns/cpu-isa/rv64uf-p-ldst/simulation.log	cpu-isa
rv64uf-p-move	isa	PASS	0	1.73		campaigns/cpu-isa/rv64uf-p-move/simulation.log	cpu-isa
rv64uf-p-recoding	isa	PASS	0	1.274		campaigns/cpu-isa/rv64uf-p-recoding/simulation.log	cpu-isa
rv64uf-v-fadd	isa	PASS	0	18.769		campaigns/cpu-isa/rv64uf-v-fadd/simulation.log	cpu-isa
rv64uf-v-fclass	isa	PASS	0	10.425		campaigns/cpu-isa/rv64uf-v-fclass/simulation.log	cpu-isa
rv64uf-v-fcmp	isa	PASS	0	17.971		campaigns/cpu-isa/rv64uf-v-fcmp/simulation.log	cpu-isa
rv64uf-v-fcvt	isa	PASS	0	17.008		campaigns/cpu-isa/rv64uf-v-fcvt/simulation.log	cpu-isa
rv64uf-v-fcvt_w	isa	PASS	0	26.263		campaigns/cpu-isa/rv64uf-v-fcvt_w/simulation.log	cpu-isa
rv64uf-v-fdiv	isa	PASS	0	18.675		campaigns/cpu-isa/rv64uf-v-fdiv/simulation.log	cpu-isa
rv64uf-v-fmadd	isa	PASS	0	17.71		campaigns/cpu-isa/rv64uf-v-fmadd/simulation.log	cpu-isa
rv64uf-v-fmin	isa	PASS	0	17.616		campaigns/cpu-isa/rv64uf-v-fmin/simulation.log	cpu-isa
rv64uf-v-ldst	isa	PASS	0	16.76		campaigns/cpu-isa/rv64uf-v-ldst/simulation.log	cpu-isa
rv64uf-v-move	isa	PASS	0	9.818		campaigns/cpu-isa/rv64uf-v-move/simulation.log	cpu-isa
rv64uf-v-recoding	isa	PASS	0	17.009		campaigns/cpu-isa/rv64uf-v-recoding/simulation.log	cpu-isa
rv64ui-p-add	isa	PASS	0	1.978		campaigns/cpu-isa/rv64ui-p-add/simulation.log	cpu-isa
rv64ui-p-addi	isa	PASS	0	1.78		campaigns/cpu-isa/rv64ui-p-addi/simulation.log	cpu-isa
rv64ui-p-addiw	isa	PASS	0	1.626		campaigns/cpu-isa/rv64ui-p-addiw/simulation.log	cpu-isa
rv64ui-p-addw	isa	PASS	0	2.03		campaigns/cpu-isa/rv64ui-p-addw/simulation.log	cpu-isa
rv64ui-p-and	isa	PASS	0	1.977		campaigns/cpu-isa/rv64ui-p-and/simulation.log	cpu-isa
rv64ui-p-andi	isa	PASS	0	1.527		campaigns/cpu-isa/rv64ui-p-andi/simulation.log	cpu-isa
rv64ui-p-auipc	isa	PASS	0	1.223		campaigns/cpu-isa/rv64ui-p-auipc/simulation.log	cpu-isa
rv64ui-p-beq	isa	PASS	0	1.576		campaigns/cpu-isa/rv64ui-p-beq/simulation.log	cpu-isa
rv64ui-p-bge	isa	PASS	0	1.677		campaigns/cpu-isa/rv64ui-p-bge/simulation.log	cpu-isa
rv64ui-p-bgeu	isa	PASS	0	1.827		campaigns/cpu-isa/rv64ui-p-bgeu/simulation.log	cpu-isa
rv64ui-p-blt	isa	PASS	0	1.628		campaigns/cpu-isa/rv64ui-p-blt/simulation.log	cpu-isa
rv64ui-p-bltu	isa	PASS	0	1.776		campaigns/cpu-isa/rv64ui-p-bltu/simulation.log	cpu-isa
rv64ui-p-bne	isa	PASS	0	1.576		campaigns/cpu-isa/rv64ui-p-bne/simulation.log	cpu-isa
rv64ui-p-fence_i	isa	PASS	0	1.526		campaigns/cpu-isa/rv64ui-p-fence_i/simulation.log	cpu-isa
rv64ui-p-jal	isa	PASS	0	1.481		campaigns/cpu-isa/rv64ui-p-jal/simulation.log	cpu-isa
rv64ui-p-jalr	isa	PASS	0	1.781		campaigns/cpu-isa/rv64ui-p-jalr/simulation.log	cpu-isa
rv64ui-p-lb	isa	PASS	0	1.935		campaigns/cpu-isa/rv64ui-p-lb/simulation.log	cpu-isa
rv64ui-p-lbu	isa	PASS	0	1.83		campaigns/cpu-isa/rv64ui-p-lbu/simulation.log	cpu-isa
rv64ui-p-ld	isa	PASS	0	2.233		campaigns/cpu-isa/rv64ui-p-ld/simulation.log	cpu-isa
rv64ui-p-lh	isa	PASS	0	2.136		campaigns/cpu-isa/rv64ui-p-lh/simulation.log	cpu-isa
rv64ui-p-lhu	isa	PASS	0	1.83		campaigns/cpu-isa/rv64ui-p-lhu/simulation.log	cpu-isa
rv64ui-p-lui	isa	PASS	0	1.221		campaigns/cpu-isa/rv64ui-p-lui/simulation.log	cpu-isa
rv64ui-p-lw	isa	PASS	0	1.677		campaigns/cpu-isa/rv64ui-p-lw/simulation.log	cpu-isa
rv64ui-p-lwu	isa	PASS	0	1.827		campaigns/cpu-isa/rv64ui-p-lwu/simulation.log	cpu-isa
rv64ui-p-ma_data	isa	FAIL	255	1.074		campaigns/cpu-isa/rv64ui-p-ma_data/simulation.log	cpu-isa
rv64ui-p-or	isa	PASS	0	1.979		campaigns/cpu-isa/rv64ui-p-or/simulation.log	cpu-isa
rv64ui-p-ori	isa	PASS	0	1.425		campaigns/cpu-isa/rv64ui-p-ori/simulation.log	cpu-isa
rv64ui-p-sb	isa	PASS	0	1.975		campaigns/cpu-isa/rv64ui-p-sb/simulation.log	cpu-isa
rv64ui-p-sd	isa	PASS	0	2.281		campaigns/cpu-isa/rv64ui-p-sd/simulation.log	cpu-isa
rv64ui-p-sh	isa	PASS	0	2.079		campaigns/cpu-isa/rv64ui-p-sh/simulation.log	cpu-isa
rv64ui-p-simple	isa	PASS	0	1.123		campaigns/cpu-isa/rv64ui-p-simple/simulation.log	cpu-isa
rv64ui-p-sll	isa	PASS	0	2.03		campaigns/cpu-isa/rv64ui-p-sll/simulation.log	cpu-isa
