test	suite	result	exit_status	wall_seconds	cycles	log
rv64ui-p-add	isa	PASS	0	8.579		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-add/simulation.log
rv64ui-p-addi	isa	PASS	0	6.465		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-addi/simulation.log
rv64ui-p-addiw	isa	PASS	0	8.332		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-addiw/simulation.log
rv64ui-p-addw	isa	PASS	0	8.229		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-addw/simulation.log
rv64ui-p-and	isa	PASS	0	7.523		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-and/simulation.log
rv64ui-p-andi	isa	PASS	0	5.805		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-andi/simulation.log
rv64uf-v-recoding	isa	PASS	0	70.244		${CAMPAIGN_ROOT}/cpu-isa/rv64uf-v-recoding/simulation.log
rv64ui-p-auipc	isa	PASS	0	5.607		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-auipc/simulation.log
rv64ui-p-beq	isa	PASS	0	8.525		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-beq/simulation.log
rv64ui-p-bge	isa	PASS	0	9.444		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-bge/simulation.log
rv64ui-p-blt	isa	PASS	0	6.213		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-blt/simulation.log
rv64ui-p-bgeu	isa	PASS	0	7.672		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-bgeu/simulation.log
rv64ui-p-bltu	isa	PASS	0	6.813		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-bltu/simulation.log
rv64ui-p-bne	isa	PASS	0	6.667		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-bne/simulation.log
rv64ui-p-jal	isa	PASS	0	4.852		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-jal/simulation.log
rv64ui-p-fence_i	isa	PASS	0	6.012		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-fence_i/simulation.log
