UnitName,X,Y,Length (m),Width (m),ConfigFile,Label
unit_204,1.875000e-04,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_205,2.031250e-04,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_206,2.187500e-04,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_207,2.343750e-04,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_208,2.500000e-04,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_209,2.656250e-04,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_210,2.812500e-04,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_211,2.968750e-04,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_212,3.125000e-04,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_213,3.281250e-04,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_214,3.437500e-04,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_215,3.593750e-04,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_216,3.750000e-04,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_217,3.906250e-04,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_218,4.062500e-04,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_219,4.218750e-04,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_220,4.375000e-04,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_221,4.531250e-04,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_222,4.687500e-04,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_223,4.843750e-04,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_224,0.000000e+00,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_225,1.562500e-05,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_226,3.125000e-05,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_227,4.687500e-05,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_228,6.250000e-05,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_229,7.812500e-05,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_230,9.375000e-05,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_231,1.093750e-04,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_232,1.250000e-04,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_233,1.406250e-04,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_234,1.562500e-04,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_235,1.718750e-04,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_236,1.875000e-04,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_237,2.031250e-04,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_238,2.187500e-04,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_239,2.343750e-04,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_240,2.500000e-04,1.093750e-04,1.562500e-05,1.562500e-05,,Si
