test	suite	result	exit_status	wall_seconds	cycles	log
rv64ud-p-ldst	isa	PASS	0	5.6		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ud-p-ldst/simulation.log
rv64ud-p-recoding	isa	PASS	0	6.308		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ud-p-recoding/simulation.log
rv64ud-p-structural	isa	PASS	0	7.672		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ud-p-structural/simulation.log
rv64ud-p-move	isa	PASS	0	15.428		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ud-p-move/simulation.log
rv64ud-v-fclass	isa	PASS	0	51.918		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ud-v-fclass/simulation.log
rv64ud-v-fadd	isa	PASS	0	83.272		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ud-v-fadd/simulation.log
rv64ud-v-fcmp	isa	PASS	0	78.86		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ud-v-fcmp/simulation.log
rv64ud-v-fcvt	isa	PASS	0	72.335		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ud-v-fcvt/simulation.log
rv64ud-v-fdiv	isa	PASS	0	65.246		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ud-v-fdiv/simulation.log
rv64ud-v-fcvt_w	isa	PASS	0	98.08		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ud-v-fcvt_w/simulation.log
rv64ud-v-fmadd	isa	PASS	0	67.531		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ud-v-fmadd/simulation.log
rv64ud-v-fmin	isa	PASS	0	68.183		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ud-v-fmin/simulation.log
rv64ud-v-ldst	isa	PASS	0	64.098		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ud-v-ldst/simulation.log
rv64ud-v-move	isa	PASS	0	63.027		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ud-v-move/simulation.log
rv64ud-v-structural	isa	PASS	0	28.499		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ud-v-structural/simulation.log
rv64uf-p-fadd	isa	PASS	0	11.597		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64uf-p-fadd/simulation.log
rv64uf-p-fclass	isa	PASS	0	10.142		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64uf-p-fclass/simulation.log
rv64uf-p-fcmp	isa	PASS	0	10.692		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64uf-p-fcmp/simulation.log
rv64ud-v-recoding	isa	PASS	0	74.335		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ud-v-recoding/simulation.log
rv64uf-p-fcvt	isa	PASS	0	7.884		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64uf-p-fcvt/simulation.log
rv64uf-p-fdiv	isa	PASS	0	8.582		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64uf-p-fdiv/simulation.log
rv64uf-p-fcvt_w	isa	PASS	0	13.201		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64uf-p-fcvt_w/simulation.log
rv64uf-p-fmadd	isa	PASS	0	5.368		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64uf-p-fmadd/simulation.log
rv64uf-p-fmin	isa	PASS	0	6.807		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64uf-p-fmin/simulation.log
rv64uf-p-ldst	isa	PASS	0	4.935		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64uf-p-ldst/simulation.log
rv64uf-p-recoding	isa	PASS	0	4.539		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64uf-p-recoding/simulation.log
rv64uf-p-move	isa	PASS	0	5.8		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64uf-p-move/simulation.log
rv64uf-v-fclass	isa	PASS	0	38.065		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64uf-v-fclass/simulation.log
rv64uf-v-fadd	isa	PASS	0	63.657		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64uf-v-fadd/simulation.log
rv64uf-v-fcmp	isa	PASS	0	62.302		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64uf-v-fcmp/simulation.log
rv64uf-v-fcvt	isa	PASS	0	62.302		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64uf-v-fcvt/simulation.log
rv64uf-v-fdiv	isa	PASS	0	65.62		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64uf-v-fdiv/simulation.log
rv64uf-v-fcvt_w	isa	PASS	0	95.138		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64uf-v-fcvt_w/simulation.log
rv64uf-v-fmadd	isa	PASS	0	62.468		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64uf-v-fmadd/simulation.log
rv64uf-v-fmin	isa	PASS	0	61.099		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64uf-v-fmin/simulation.log
rv64uf-v-move	isa	PASS	0	36.168		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64uf-v-move/simulation.log
rv64uf-v-ldst	isa	PASS	0	60.508		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64uf-v-ldst/simulation.log
rv64ui-p-add	isa	PASS	0	7.206		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-add/simulation.log
rv64ui-p-addi	isa	PASS	0	5.698		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-addi/simulation.log
rv64ui-p-addiw	isa	PASS	0	5.851		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-addiw/simulation.log
rv64ui-p-addw	isa	PASS	0	6.805		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-addw/simulation.log
rv64ui-p-and	isa	PASS	0	6.503		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-and/simulation.log
rv64ui-p-andi	isa	PASS	0	5.246		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-andi/simulation.log
rv64uf-v-recoding	isa	PASS	0	59.592		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64uf-v-recoding/simulation.log
rv64ui-p-auipc	isa	PASS	0	4.139		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-auipc/simulation.log
rv64ui-p-beq	isa	PASS	0	5.396		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-beq/simulation.log
rv64ui-p-bge	isa	PASS	0	5.998		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-bge/simulation.log
rv64ui-p-bgeu	isa	PASS	0	6.507		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-bgeu/simulation.log
rv64ui-p-blt	isa	PASS	0	6.003		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-blt/simulation.log
rv64ui-p-bltu	isa	PASS	0	6.607		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-bltu/simulation.log
rv64ui-p-bne	isa	PASS	0	6.403		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-bne/simulation.log
rv64ui-p-fence_i	isa	PASS	0	5.6		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-fence_i/simulation.log
rv64ui-p-jal	isa	PASS	0	4.642		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-jal/simulation.log
rv64ui-p-jalr	isa	PASS	0	5.149		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-jalr/simulation.log
rv64ui-p-lb	isa	PASS	0	6.003		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-lb/simulation.log
rv64ui-p-lbu	isa	PASS	0	5.747		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-lbu/simulation.log
rv64ui-p-ld	isa	PASS	0	7.613		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-ld/simulation.log
rv64ui-p-lh	isa	PASS	0	6.456		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-lh/simulation.log
rv64ui-p-lhu	isa	PASS	0	6.606		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-lhu/simulation.log
rv64ui-p-lui	isa	PASS	0	5.298		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-lui/simulation.log
rv64ui-p-lw	isa	PASS	0	6.503		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-lw/simulation.log
rv64ui-p-lwu	isa	PASS	0	6.856		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-lwu/simulation.log
rv64ui-p-ma_data	isa	FAIL	255	4.341		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-ma_data/simulation.log
rv64ui-p-or	isa	PASS	0	7.962		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-or/simulation.log
rv64ui-p-ori	isa	PASS	0	5.801		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-ori/simulation.log
rv64ui-p-sb	isa	PASS	0	7.912		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-sb/simulation.log
rv64ui-p-sd	isa	PASS	0	10.027		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-sd/simulation.log
rv64ui-p-simple	isa	PASS	0	5.049		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-simple/simulation.log
rv64ui-p-sh	isa	PASS	0	9.125		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-sh/simulation.log
rv64ui-p-slli	isa	PASS	0	6.805		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-slli/simulation.log
rv64ui-p-sll	isa	PASS	0	8.868		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-sll/simulation.log
rv64ui-p-slliw	isa	PASS	0	7.212		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-slliw/simulation.log
rv64ui-p-sllw	isa	PASS	0	9.174		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-sllw/simulation.log
rv64ui-p-slt	isa	PASS	0	8.317		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-slt/simulation.log
rv64ui-p-slti	isa	PASS	0	6.253		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-slti/simulation.log
rv64ui-p-sltiu	isa	PASS	0	5.749		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-sltiu/simulation.log
rv64ui-p-sltu	isa	PASS	0	8.166		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-sltu/simulation.log
rv64ui-p-sra	isa	PASS	0	8.62		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-sra/simulation.log
rv64ui-p-srai	isa	PASS	0	6.758		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-srai/simulation.log
rv64ui-p-sraiw	isa	PASS	0	6.355		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-sraiw/simulation.log
rv64ui-p-sraw	isa	PASS	0	8.112		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-sraw/simulation.log
rv64ui-p-srl	isa	PASS	0	8.623		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-srl/simulation.log
rv64ui-p-srli	isa	PASS	0	6.461		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-srli/simulation.log
rv64ui-p-srliw	isa	PASS	0	6.404		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-srliw/simulation.log
rv64ui-p-srlw	isa	PASS	0	8.262		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-srlw/simulation.log
rv64ui-p-sub	isa	PASS	0	7.863		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-sub/simulation.log
rv64ui-p-subw	isa	PASS	0	7.105		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-subw/simulation.log
rv64ui-p-sw	isa	PASS	0	8.069		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-sw/simulation.log
rv64ui-p-xor	isa	PASS	0	8.167		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-xor/simulation.log
rv64ui-p-xori	isa	PASS	0	6.054		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-xori/simulation.log
rv64ui-v-add	isa	PASS	0	44.68		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-add/simulation.log
rv64ui-v-addi	isa	PASS	0	42.17		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-addi/simulation.log
rv64ui-v-addiw	isa	PASS	0	40.808		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-addiw/simulation.log
rv64ui-v-addw	isa	PASS	0	41.298		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-addw/simulation.log
rv64ui-v-andi	isa	PASS	0	36.607		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-andi/simulation.log
rv64ui-v-and	isa	PASS	0	63.152		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-and/simulation.log
rv64ui-v-auipc	isa	PASS	0	34.907		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-auipc/simulation.log
rv64ui-v-beq	isa	PASS	0	35.415		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-beq/simulation.log
rv64ui-v-bge	isa	PASS	0	35.059		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-bge/simulation.log
rv64ui-v-bgeu	isa	PASS	0	34.615		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-bgeu/simulation.log
rv64ui-v-blt	isa	PASS	0	35.821		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-blt/simulation.log
rv64ui-v-bltu	isa	PASS	0	35.864		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-bltu/simulation.log
rv64ui-v-bne	isa	PASS	0	36.115		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-bne/simulation.log
rv64ui-v-jal	isa	PASS	0	34.82		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-jal/simulation.log
rv64ui-v-fence_i	isa	PASS	0	59.206		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-fence_i/simulation.log
rv64ui-v-jalr	isa	PASS	0	37.776		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-jalr/simulation.log
rv64ui-v-lb	isa	PASS	0	68.097		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-lb/simulation.log
rv64ui-v-lbu	isa	PASS	0	65.272		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-lbu/simulation.log
rv64ui-v-ld	isa	PASS	0	63.407		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-ld/simulation.log
rv64ui-v-lh	isa	PASS	0	62.906		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-lh/simulation.log
rv64ui-v-lui	isa	PASS	0	38.877		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-lui/simulation.log
rv64ui-v-lhu	isa	PASS	0	63.309		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-lhu/simulation.log
